Paper_ID,Study_ID,Comparison_ID,Authors,N,Title,Year,DOI,SR_Source,Log_Source,medium,Source_Type,Population,SR_PROB_Label,Use_Form_Recorded,Use_Measurement_Produced,Logging_Duration,Correlation_rs,Correlation_r,sr_outcome_type,SR_Form,SR_Mean,SR_SD,Log_Mean,Log_SD,Measure_Type,Design,plot_digitised,Comment,use.cor.analysis,prob.cor.analysis,under.over.analysis,effect_ID,use_measurement,slab,yi,vi
P11,P11S1,C1,Felisoni & Godoi,43,Cell phone usage and academic performance: An experiment,2017,10.1016/j.compedu.2017.10.006,Estimate of time spent on cellphones in a typical day,Moment and App Usage Tracker,Phone,Published,student,NA,total daily minutes of smartphone use,average daily duration,two weeks,NA,0.503675,USE,SINGLE,175.3,78.3945,230.01,73.3971,Duration,correlational,N,used data received directly from the authors (the correlations were missing from the paper),Y,N,Y,P11S1C1,average daily duration,"Felisoni & Godoi, 2017 (n = 43)",-0.27162399431172385,0.00367590992897872
P12,P12S1,C2,Geyer et al.,139,Unpublished data provided by author,Unpublished,NA,Estimated daily screen time,Usage Logger,Phone,Unpublished,student,NA,total daily minutes of smartphone use,average daily duration,5 days,NA,0.3058814,USE,SINGLE,280.7,144.38,340.57,153.56,Duration,correlational,N,data received directly from author,Y,N,Y,P12S1C2,average daily duration,"Geyer et al., Unpublished (n = 139)",-0.1933342011224203,0.0023452266133882496
P13,P13S1,C1,Inyang et al.,59,How well do adolescents recall use of mobile telephones? Results of a validation study,2009,10.1186/1471-2288-9-36,Estimated weekly call duration,Phone use logger,Phone,Published,adolescents,NA,call duration,weekly call duration,1 week,0.1,0.09,USE,SINGLE,5.07,2.94,3.75,0.85,Duration,correlational,Y,No descriptive statistics reported. Can include in use-cor as is but will need M and SD for under/over. There is a (log) scatter plot so may be able to use that to digitise. FOLLOW UP - no reply so plot digitised,Y,N,Y,P13S1C1,weekly call duration,"Inyang et al., 2009 (n = 59)",0.3015849776207724,0.006169175289470298
P13,P13S1,C2,Inyang et al.,59,How well do adolescents recall use of mobile telephones? Results of a validation study,2009,10.1186/1471-2288-9-36,Estimated weekly call number,Phone use logger,Phone,Published,adolescents,NA,call number,weekly number of calls,1 week,0.3,0.31,USE,SINGLE,1.62,1.21,2.28,1.98,Duration,correlational,N,No descriptive statistics reported. Can include in use-cor as is but will need M and SD for under/over. There is a (log) scatter plot so may be able to use that to digitise. FOLLOW UP - no reply so plot digitised,Y,N,Y,P13S1C2,weekly number of calls,"Inyang et al., 2009 (n = 59)",-0.34174929372205654,0.01542171228660403
P14,P14S1,C1,Jones-Jang et al.,294,Good News! Communication Findings May be Underestimated: Comparing Effect Sizes with Self-Reported and Logged Smartphone Use Data,2020,10.1093/jcmc/zmaa009,Estimated daily screen time,iOS Screen Time,Phone,Published,student,NA,screen time (in minutes),average daily use time,7 days,NA,0.36,USE,SINGLE,240.27,149.42,304.04,105.07,Duration,correlational,N,NA,Y,N,Y,P14S1C1,average daily use time,"Jones-Jang et al., 2020 (n = 294)",-0.23539598069413906,0.0011953372872630429
P14,P14S1,C2,Jones-Jang et al.,294,Good News! Communication Findings May be Underestimated: Comparing Effect Sizes with Self-Reported and Logged Smartphone Use Data,2020,10.1093/jcmc/zmaa009,Estimated daily pickups,iOS Screen Time,Phone,Published,student,NA,number of smartphone unlocks,average daily pickups,7 days,NA,0.16,USE,SINGLE,113.59,158,160.93,60.28,Volume,correlational,N,NA,Y,N,Y,P14S1C2,average daily pickups,"Jones-Jang et al., 2020 (n = 294)",-0.3483740135870733,0.0064910525758576035
P14,P14S2,C4,Jones-Jang et al.,291,Good News! Communication Findings May be Underestimated: Comparing Effect Sizes with Self-Reported and Logged Smartphone Use Data,2020,10.1093/jcmc/zmaa009,Estimated daily screen time,iOS Screen Time,Phone,Published,general,NA,screen time (in minutes),average daily use time,7 days,NA,0.5,USE,SINGLE,215.54,177.73,269.59,151.06,Duration,correlational,N,NA,Y,N,Y,P14S2C4,average daily use time,"Jones-Jang et al., 2020 (n = 291)",-0.22375577919341083,0.001827717549876115
P14,P14S2,C5,Jones-Jang et al.,291,Good News! Communication Findings May be Underestimated: Comparing Effect Sizes with Self-Reported and Logged Smartphone Use Data,2020,10.1093/jcmc/zmaa009,Estimated daily pickups,iOS Screen Time,Phone,Published,general,NA,number of smartphone unlocks,average daily pickups,7 days,NA,0.11,USE,SINGLE,66.06,89.81,77.39,71.23,Volume,correlational,N,NA,Y,N,Y,P14S2C5,average daily pickups,"Jones-Jang et al., 2020 (n = 291)",-0.15829415331972413,0.00831667804180967
P15,P15S1,C1,Junco,45,Comparing actual and self-reported measures of Facebook use,2013,http://dx.doi.org/10.1016/j.chb.2012.11.007,Estimate of time spent on Facebook,Custom App,Social Media,Published,student,NA,"active application, website or document",average daily use time,1 month,NA,0.587,USE,SINGLE,145,111,26,30,Duration,correlational,N,NA,Y,N,Y,P15S1C1,average daily use time,"Junco, 2013 (n = 45)",1.7186372043990923,0.019564359138529087
P15,P15S1,C2,Junco,45,Comparing actual and self-reported measures of Facebook use,2013,http://dx.doi.org/10.1016/j.chb.2012.11.007,Estimate of time spent on Twitter,Custom App,Social Media,Published,student,NA,"active application, website or document",average daily use time,1 month,NA,0.866,USE,SINGLE,73,59,4,6,Duration,correlational,N,NA,Y,N,Y,P15S1C2,average daily use time,"Junco, 2013 (n = 45)",2.9041650800285006,0.017854773670273758
P16,P16S1,C1,Kahn,6598,Why we distort in self-report: predictors of self-report errors in video game play,2014,10.1111/jcc4.12056,Estimated weekly hours playing game,Platform logged data,Gaming,Published,general,NA,seconds of game play,average daily duration,9 months,NA,0.365,USE,SINGLE,23.94,15.96,25.2,17.56,Duration,correlational,N,NA,Y,N,Y,P16S1C1,average daily duration,"Kahn, 2014 (n = 6598)",-0.05129329438755046,8.955568126456853e-5
P18,P18S1,C1,Kobayashi & Boase,270,No such effect? The implications of measurement error in self-report measures of mobile communication use,2012,http://dx.doi.org/10.1080/19312458.2012.679243,Estimate of outgoing calls,Custom App,Phone,Published,adults,NA,logs of call numbers,average daily outgoing calls,2 months,NA,0.3,USE,SINGLE,2.37,3.53,1.09,1.37,Duration,correlational,N,SDs supplied directly from authors as missing from the paper,Y,N,Y,P18S1C1,average daily outgoing calls,"Kobayashi & Boase, 2012 (n = 270)",0.7767122589059875,0.00990732282180452
P18,P18S1,C2,Kobayashi & Boase,270,No such effect? The implications of measurement error in self-report measures of mobile communication use,2012,http://dx.doi.org/10.1080/19312458.2012.679243,Estimate of incoming calls,Custom App,Phone,Published,adults,NA,logs of call numbers,average daily incoming calls,2 months,NA,0.48,USE,SINGLE,2.79,3.9,0.95,1.31,Duration,correlational,N,SDs supplied directly from authors as missing from the paper,Y,N,Y,P18S1C2,average daily incoming calls,"Kobayashi & Boase, 2012 (n = 270)",1.0773348902208248,0.007426002074949689
P18,P18S1,C3,Kobayashi & Boase,182,No such effect? The implications of measurement error in self-report measures of mobile communication use,2012,http://dx.doi.org/10.1080/19312458.2012.679243,Estimate of outgoing SMS,Custom App,Phone,Published,adults,NA,logs of SMS numbers,average daily outgoing SMSs,2 months,NA,0.05,USE,SINGLE,2.15,8.03,0.16,0.59,Duration,correlational,N,SDs supplied directly from authors as missing from the paper,Y,N,Y,P18S1C3,average daily outgoing SMSs,"Kobayashi & Boase, 2012 (n = 182)",2.5980493058878817,0.1437899686086628
P18,P18S1,C4,Kobayashi & Boase,182,No such effect? The implications of measurement error in self-report measures of mobile communication use,2012,http://dx.doi.org/10.1080/19312458.2012.679243,Estimate of incoming SMS,Custom App,Phone,Published,adults,NA,logs of SMS numbers,average daily incoming SMSs,2 months,NA,0.04,USE,SINGLE,3.54,9.21,0.55,0.94,Duration,correlational,N,SDs supplied directly from authors as missing from the paper,Y,N,Y,P18S1C4,average daily incoming SMSs,"Kobayashi & Boase, 2012 (n = 182)",1.8619637279013035,0.051286184161350654
P19,P19S1,C2,Lee et al.,35,Comparing the Self-report and measured smartphone usage of college students: A pilot study,2017,https://doi.org/10.4306/pi.2017.14.2.198,Estimated weekday smartphone use time,Custom App,Phone,Published,student,NA,logs of app usage,daily use time,1 week,NA,0.528,USE,SINGLE,232.945,169.133,276.52,126.486,Duration,correlational,Y,only 35 data points. Only digitised for the Ms and SDs - the rest is reported in text,Y,N,Y,P19S1C2,daily use time,"Lee et al., 2017 (n = 35)",-0.17148077687805052,0.011019642712260753
P21,P21S1,C1,Lin et al.,66,Time distortion associated with smartphone addiction: Identifying smartphone addiction via a mobile application (App),2015,http://dx.doi.org/10.1016/j.jpsychires.2015.04.003,Psychiatrists assisted self-reporting of total smartphone use time,Custom App,Phone,Published,adults,NA,usage duration,total weekly use time,30 days,NA,0.456,USE,SINGLE,20.11,12.4,29.39,14.45,Duration,correlational,N,Have only included the assissted self-report value and not the psychiatrists value,Y,N,Y,P21S1C1,total weekly use time,"Lin et al., 2015 (n = 66)",-0.37943727664626525,0.005234148908016218
P23,P23S1,C1,Mikkelsen et al.,1211,"Validity of questionnaire self-reports on computer, mouse and keyboard usage during a four-week period",2007,10.1136/oem.2005.026351,Estimate of weekly time performing various computer tasks,WorkPace Recorder Software,Computer,Published,adults,NA,Time for computer input events,Weekly computer use time,4 weeks,0.51,0.52,USE,SINGLE,24.7,6.9,10.8,4.8,Duration,correlational,N,NA,Y,N,Y,P23S1C1,Weekly computer use time,"Mikkelsen et al., 2007 (n = 1211)",0.8272571095037574,1.2092958196017441e-4
P24,P24S1,C2,Montag et al.,58,Recorded behavior as a valuable resource for diagnostics in mobile phone addiction: evidence from Psychoinformatics,2015,10.3390/bs5040434,Estimate of weekly phone use duration,Custom App,Phone,Published,adults,NA,logs length of app usage,average weekly use time,5 weeks,0.362,0.37,USE,SINGLE,15.79,18.04,10.16,6.06,Duration,correlational,N,They report overall phone use incoming + outgoing calls + incoming and outgoing SMS...we decided if an overall use comparison is available to only use that. If none is available to include specific comparisons..received the correlation from the author directly,Y,N,Y,P24S1C2,average weekly use time,"Montag et al., 2015 (n = 58)",0.44091838611721484,0.01994454773460836
P27,P27S1,C1,Oeldorf-Hirsch & Chen,142,Who Cares about screen time? Predicting the use of mobile phone tracking features,Unpublished,NA,Estimated daily screen time,iOS Screen Time,Phone,Unpublished,general,NA,screen time (in minutes),average daily use time,6 days,NA,0.24,USE,SINGLE,273.31,174.97,320.01,178.61,Duration,correlational,N,NA,Y,N,Y,P27S1C1,average daily use time,"Oeldorf-Hirsch & Chen, Unpublished (n = 142)",-0.1577455632128424,0.003872181709476499
P28,P28S1,C1,Ohme et al.,47,Assessing self-report accuracy and sample biases with the iOS Screen Time function,Unpublished,NA,Estimated daily screen time,iOS Screen Time,Phone,Unpublished,adults,NA,screen time (in minutes),average daily use time,7 days,NA,0.3711,USE,SINGLE,145.8,129.9,256.8,184.3,Duration,correlational,N,NA,Y,N,Y,P28S1C1,average daily use time,"Ohme et al., Unpublished (n = 47)",-0.5660617522412483,0.017750556287076537
P28,P28S1,C2,Ohme et al.,47,Assessing self-report accuracy and sample biases with the iOS Screen Time function,Unpublished,NA,Estimated daily pickups,iOS Screen Time,Phone,Unpublished,adults,NA,number of smartphone unlocks,average daily pickups,7 days,NA,0.3209,USE,SINGLE,54.9,92.1,69.6,46.6,Volume,correlational,N,NA,Y,N,Y,P28S1C2,average daily pickups,"Ohme et al., Unpublished (n = 47)",-0.23725121882488895,0.054079362804460726
P33,P33S1,C1,Rozgonjuk et al.,30,"Instagram use frequency is associated with problematic use, but not with depression and anxiety symptom severity",2020,https://doi.org/10.1177%2F2050157920910190,Daily instagram use time,App Usage - Manage/Track Usage,Phone,Published,general,NA,active hours per day,average daily Instagram use time,1 week,NA,0.39,USE,SINGLE,44.8,41.12,24.597,19.56,Duration,correlational,N,All values were computed directly from the available code and data provided on the OSF (not all needed corrs and descriptives were provided in the manuscript). I can link the code if need be.,Y,N,Y,P33S1C1,average daily Instagram use time,"Rozgonjuk et al., 2020 (n = 30)",0.5995836551387891,0.030183830934742525
P33,P33S1,C2,Rozgonjuk et al.,30,"Instagram use frequency is associated with problematic use, but not with depression and anxiety symptom severity",2020,https://doi.org/10.1177%2F2050157920910190,Daily instagram checks,App Usage - Manage/Track Usage,Phone,Published,general,NA,number of sessions per day,average daily instagram checks,1 week,NA,0.47,USE,SINGLE,9.5333,10.944,12.88,9.8,Volume,correlational,N,All values were computed directly from the available code and data provided on the OSF (not all needed corrs and descriptives were provided in the manuscript). I can link the code if need be.,Y,N,Y,P33S1C2,average daily instagram checks,"Rozgonjuk et al., 2020 (n = 30)",-0.3008847880281196,0.03585730193474051
P36,P36S1,C1,Sewall et al.,325,How psychosocial well-being and usage amount predict inaccuracies in retrospective estimastes of digital technology use,2020,https://doi.org/10.1177%2F2050157920902832,Estimated weekly smartphone use,iOS Screen Time,Phone,Published,adults,NA,usage duration,total weekly use,7 days,NA,0.39,USE,SINGLE,31.51,30.4,28.18,22.08,Duration,correlational,N,Weekly use here.,Y,N,Y,P36S1C1,total weekly use,"Sewall et al., 2020 (n = 325)",0.11169244929864908,0.0029387249867854808
P36,P36S1,C2,Sewall et al.,325,How psychosocial well-being and usage amount predict inaccuracies in retrospective estimastes of digital technology use,2020,https://doi.org/10.1177%2F2050157920902832,Estimated daily average smartphone use,iOS Screen Time,Phone,Published,adults,NA,usage duration,daily average total use,7 days,NA,0.46,USE,SINGLE,3.79,2.78,3.9,2.7,Duration,correlational,N,Weekly use here.,Y,N,Y,P36S1C2,daily average total use,"Sewall et al., 2020 (n = 325)",-0.028610534041265775,0.0016927285526419401
P37,P37S1,C3,Shaw et al.,46,Subjective reports overstate the relationship between screen time and mental health,Unpublished,NA,Estimated daily screen time,Activity Logger,Phone,Unpublished,general,NA,screen activations,average daily use time,7 days,0.1759694,0.19,USE,SINGLE,5.08,3.36,3.74,1.6,Duration,correlational,N,NA,Y,N,Y,P37S1C3,average daily use time,"Shaw et al., Unpublished (n = 46)",0.30622565016394987,0.011151469417712542
P37,P37S1,C4,Shaw et al.,46,Subjective reports overstate the relationship between screen time and mental health,Unpublished,NA,Estimated daily pickups,Activity Logger,Phone,Unpublished,general,NA,screen activations,average daily pickups,7 days,0.01238759,0.02,USE,SINGLE,48.74,39.96,133.18,63.52,Volume,correlational,N,NA,Y,N,Y,P37S1C4,average daily pickups,"Shaw et al., Unpublished (n = 46)",-1.0052015484854162,0.019217604947284233
P37,P37S2,C7,Shaw et al.,199,Subjective reports overstate the relationship between screen time and mental health,Unpublished,NA,Estimated daily screen time,iOS Screen Time,Phone,Unpublished,general,NA,screen time (in minutes),average daily use time,7 days,0.5540963,0.58,USE,SINGLE,4.38,2.15,4.62,2.3,Duration,correlational,N,NA,Y,N,Y,P37S2C7,average daily use time,"Shaw et al., Unpublished (n = 199)",-0.053345980705292735,0.0010317610499143413
P37,P37S2,C8,Shaw et al.,199,Subjective reports overstate the relationship between screen time and mental health,Unpublished,NA,Estimated daily pickups,iOS Screen Time,Phone,Unpublished,general,NA,number of smartphone unlocks,average daily pickups,7 days,0.2664722,0.28,USE,SINGLE,47.14,39.81,85.76,39.94,Volume,correlational,N,NA,Y,N,Y,P37S2C8,average daily pickups,"Shaw et al., Unpublished (n = 199)",-0.5984307998145069,0.003567007332651589
P40,P40S1,C1,Shum et al.,60,An Evaluation of Self-reported mobile phone use compared to billing records among a group of engineers and scientists,2011,10.1002/bem.20613,Estimate of total call duration,Billing records,Phone,Published,adults,NA,call duration,average daily duration,1 year,NA,0.59,USE,SINGLE,15.7,9.16,12.7,13.7,Duration,correlational,N,NA,Y,N,Y,P40S1C1,average daily duration,"Shum et al., 2011 (n = 60)",0.2120587188897168,0.01269023381939822
P40,P40S1,C2,Shum et al.,60,An Evaluation of Self-reported mobile phone use compared to billing records among a group of engineers and scientists,2011,10.1002/bem.20613,Estimate of total call number,Billing records,Phone,Published,adults,NA,call count,average daily call count,1 year,NA,0.55,USE,SINGLE,7.4,5.84,4.6,3.13,Volume,correlational,N,NA,Y,N,Y,P40S1C2,average daily call count,"Shum et al., 2011 (n = 60)",0.4754236967150749,0.008252001964924097
P42,P42S1,C1,Timotijevic et al.,159,"Factors Influencing Self-Report of Mobile Phone Use: the Role of Response Prompt, Time Reference and Mobile Phone Use in Recall",2009,10.1002/acp.1496,Estimate of outgoing call count,Billing records,Phone,Published,adults,NA,outgoing call count,total daily outgoing call count,previous month billing record,NA,0.269,USE,SINGLE,11.39,11.437,14.85,18.755,Volume,correlational,N,NA,Y,N,Y,P42S1C1,total daily outgoing call count,"Timotijevic et al., 2009 (n = 159)",-0.26526408778961785,0.012082185236258008
P42,P42S1,C2,Timotijevic et al.,173,"Factors Influencing Self-Report of Mobile Phone Use: the Role of Response Prompt, Time Reference and Mobile Phone Use in Recall",2009,10.1002/acp.1496,Estimate of outgoing call duration,Billing records,Phone,Published,adults,NA,outgoing call duration,total daily outgoing call duration,previous month billing record,NA,0.294,USE,SINGLE,2154.12,3182.373,1461.33,2233.492,Duration,correlational,N,NA,Y,N,Y,P42S1C2,total daily outgoing call duration,"Timotijevic et al., 2009 (n = 173)",0.3880353075357366,0.01844424120910565
P43,P43S1,C1,Tokala et al.,70,Reducing overestimation in reported mobile phone use associated with epidemiological studies,2008,10.1002/bem.20424,Estimated monthly call duration,Telco log data,Phone,Published,general,NA,call duration,monthly call duration,3 months,NA,0.69,USE,SINGLE,426,889,292,371,Duration,correlational,N,NA,Y,N,Y,P43S1C1,monthly call duration,"Tokala et al., 2008 (n = 70)",0.3776855440010887,0.03300363552718132
P44,P44S1,C1,van Berkel et al.,20,Effect of experience sampling schedules on response rate and recall accuracy of objective self reports,2018,https://doi.org/10.1016/j.ijhcs.2018.12.002,Estimated screen time,Custom App,Phone,Published,general,NA,usage duration,usage duration,3 weeks,0.507,0.52,USE,SINGLE,13.93,17.64,22.5,27.68,Duration,experience sampling methodology,N,Descriptive statistics supplied directly by author (also confirmed the descriptency and missing value in the final published version vs. the preprint (preprint is correct) the correlation is .507,Y,N,Y,P44S1C1,usage duration,"van Berkel et al., 2018 (n = 20)",-0.4794705214186602,0.07484292321187798
P45,P45S1,C1,Vanden Abeele et al.,466,"Measuring mobile phone use: Gender, age and real usage level in relation to the accuracy and validity of self-reported mobile phone use",2013,https://doi.org/10.1177%2F2050157913477095,Estimate of weekly number of calls,Telco log data,Phone,Published,adults,NA,number of calls,weekly number of calls,1 month,NA,0.42,USE,SINGLE,88.84,153.26,20.47,19.52,Volume,correlational,N,Report weekday  weekend and total weekly. Have selected weekly,Y,N,Y,P45S1C1,weekly number of calls,"Vanden Abeele et al., 2013 (n = 466)",1.4678765993530285,0.005372393282931525
P45,P45S1,C2,Vanden Abeele et al.,466,"Measuring mobile phone use: Gender, age and real usage level in relation to the accuracy and validity of self-reported mobile phone use",2013,https://doi.org/10.1177%2F2050157913477095,Estimate of weekly call duration,Telco log data,Phone,Published,adults,NA,call duration,weekly call duration,1 month,NA,0.5,USE,SINGLE,133.47,166.29,41.99,49.11,Duration,correlational,N,Report weekday  weekend and total weekly. Have selected weekly,Y,N,Y,P45S1C2,weekly call duration,"Vanden Abeele et al., 2013 (n = 466)",1.1564452387899582,0.0031394516457193917
P45,P45S1,C3,Vanden Abeele et al.,466,"Measuring mobile phone use: Gender, age and real usage level in relation to the accuracy and validity of self-reported mobile phone use",2013,https://doi.org/10.1177%2F2050157913477095,Estimate of weekly number of texts,Telco log data,Phone,Published,adults,NA,number of texts,weekly number of texts,1 month,NA,0.57,USE,SINGLE,97.83,139.32,121.17,153.76,Volume,correlational,N,Report weekday  weekend and total weekly. Have selected weekly,Y,N,Y,P45S1C3,weekly number of texts,"Vanden Abeele et al., 2013 (n = 466)",-0.2139632397740937,0.00338669927269735
